002  00474 |Loss: 1.131 | Acc: 59.450% 
002  00475 |Loss: 1.131 | Acc: 59.431% 
002  00476 |Loss: 1.131 | Acc: 59.403% 
002  00477 |Loss: 1.131 | Acc: 59.402% 
002  00478 |Loss: 1.130 | Acc: 59.465% 
002  00479 |Loss: 1.129 | Acc: 59.455% 
002  00480 |Loss: 1.127 | Acc: 59.498% 
002  00481 |Loss: 1.126 | Acc: 59.462% 
002  00482 |Loss: 1.126 | Acc: 59.495% 
002  00483 |Loss: 1.125 | Acc: 59.511% 
002  00484 |Loss: 1.125 | Acc: 59.551% 
002  00485 |Loss: 1.124 | Acc: 59.608% 
002  00486 |Loss: 1.123 | Acc: 59.622% 
002  00487 |Loss: 1.123 | Acc: 59.627% 
002  00488 |Loss: 1.122 | Acc: 59.657% 
002  00489 |Loss: 1.121 | Acc: 59.694% 
002  00490 |Loss: 1.122 | Acc: 59.675% 
002  00491 |Loss: 1.122 | Acc: 59.695% 
002  00492 |Loss: 1.120 | Acc: 59.769% 
002  00493 |Loss: 1.119 | Acc: 59.804% 
002  00494 |Loss: 1.120 | Acc: 59.777% 
002  00495 |Loss: 1.119 | Acc: 59.811% 
002  00496 |Loss: 1.120 | Acc: 59.792% 
002  00497 |Loss: 1.119 | Acc: 59.810% 
002  00498 |Loss: 1.118 | Acc: 59.828% 
002  00499 |Loss: 1.118 | Acc: 59.816% 
002  00500 |Loss: 1.117 | Acc: 59.812% 
002  00501 |Loss: 1.116 | Acc: 59.858% 
002  00502 |Loss: 1.115 | Acc: 59.952% 
002  00503 |Loss: 1.115 | Acc: 59.982% 
002  00504 |Loss: 1.115 | Acc: 60.004% 
002  00505 |Loss: 1.114 | Acc: 60.081% 
002  00506 |Loss: 1.113 | Acc: 60.095% 
002  00507 |Loss: 1.111 | Acc: 60.150% 
002  00508 |Loss: 1.111 | Acc: 60.143% 
002  00509 |Loss: 1.111 | Acc: 60.117% 
002  00510 |Loss: 1.111 | Acc: 60.137% 
002  00511 |Loss: 1.110 | Acc: 60.163% 
002  00512 |Loss: 1.110 | Acc: 60.169% 
002  00513 |Loss: 1.110 | Acc: 60.143% 
002  00514 |Loss: 1.109 | Acc: 60.182% 
002  00515 |Loss: 1.109 | Acc: 60.232% 
002  00516 |Loss: 1.108 | Acc: 60.244% 
002  00517 |Loss: 1.108 | Acc: 60.187% 
002  00518 |Loss: 1.107 | Acc: 60.199% 
